Name,Summary,skills
Entry Level DevOps Engineer,"Essential Criteria: • Bachelor’s degree (preferably in Computer Science, IT, Engineering, Mathematics, or similar) • A strong aptitude in IT and the interest…","['rest', 'math', 'gin']"
"Software Engineer, Videos","Fluent in Java and have opinions about Java Stream, asynchronous programming, dependency injection.Our team is responsible for backend systems that support the…",['java']
Software Development Engineer,"Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design.Experience writing and testing ETLs.","['c#', 'c++', 'java']"
Software Engineer Internship,"Experience developing in a high-level programming language (e.g., Ruby, Python, Java, C#, etc.).Merchant Reporting - Delivering scalable data solutions to our…","['java', 'scala', 'merchant', 'c#', 'ruby', 'python']"
Software Engineer Intern (Summer 2020),"Possess knowledge of software engineering processes, agile framework, tools (e.g.: programming proficiency in a language, preferably Go, C++, Java, Python, etc)…","['Go', 'java', 'c++', 'gin', 'python']"
Software Engineer Intern,"Progress towards CS degree, or demonstrated ability through side projects, Github, MOOC or bootcamp.We’re looking for well-rounded engineers who love to ship.","['gin', 'github']"
Software Engineer Intern,"Solid experience working with or familiarity around Java, C++ and/or Python.Very strong foundational knowledge in Object-Oriented Design Principles, Data…","['c++', 'java', 'python']"
Software Developer Intern,"Knowledge and understanding of at least one programming language, eg. Java, Python, C.Catered lunch every day and a well stocked kitchen - snacks and beverages…","['java', 'python']"
Staff Game Designer,Company Overview Warner Bros. has been entertaining audiences for more than 90 years through the world’s most-loved characters and franchises. Warner Bros.…,['ai']
Software Engineer Intern,"Progress towards CS degree, or demonstrated ability through side projects, Github, MOOC or bootcamp.We’re looking for well-rounded engineers who love to ship.","['gin', 'github']"
"Software Engineer, Android","Experience with a common programming language such as Java.We recognize that not every person takes the same path to success, so if this position sounds like…",['java']
Entry Level Java Developer,"Familiarity working with C, C++, Core Java.If you’re passionate about building software and perform well working in a team, along with developers, engineers,…","['gin', 'c++', 'java']"
Software Engineer - Applications Engineering (New College Gr...,Deep experience with Ruby or Python.Product engineers build and operate the full-stack apps which power the user experience for all of our audiences.,"['gin', 'ruby', 'python']"
Software Engineering Internship - Summer 2020,"Cool side projects and an interest in the real estate industry are a major plus.Collaborate - Work with our talented Engineering, Product, and Design teams to…","['rest', 'gin']"
Software Engineer Summer Intern - Java,"Fluency with Java, SQL, Perl/Python, or C++.Fast prototyping skills, familiarity with scripting languages such as bash, perl, awk, python.","['scripting', 'java', 'sql', 'perl', 'c++', 'prototyping', 'python']"
"Software Engineer, New Graduate 2020",Excellent command of one or more programming language in Java or Python.Quantcast is hiring Software Engineers to join our engineering teams in our San…,"['gin', 'java', 'python']"
Software Developer Intern,"Knowledge and understanding of at least one programming language, eg. Java, Python, C.Catered lunch every day and a well stocked kitchen - snacks and beverages…","['java', 'python']"
Software Engineer - Full-Stack - Twitter Revenue Experience,Our team is responsible for all interfaces between Twitter ad products and advertisers such as ads.twitter.com and the ads API.You are a proven engineer.,['gin']
"Software Engineer - Backend, C++","In this position you'll be mostly using Java and/or C++.We have code in several languages, ranging from C/C++ and Java to Python and JavaScript.","['java', 'c++', 'c', 'gin', 'javascript', 'python']"
Software Engineer,"Design and deploy scalable, secure infrastructure for authentication leveraging our advanced cryptography.Software Engineer: Role and Responsibilities:","['scala', 'gin', 'cryptography']"
"Software Engineer, New Graduate 2020",Excellent command of one or more programming language in Java or Python.Quantcast is hiring Software Engineers to join our engineering teams in our San…,"['gin', 'java', 'python']"
Software Engineer - LLC (Multiple Roles & Levels),"Our tech stack is Python, Django, React, Postgres.Experience with service oriented architecture.Strong industry experience in architecture and development of…","['django', 'python', 'React']"
Software Engineer - Intern,NodeJS and Java back-end services.Must be willing to work onsite in our San Francisco office (located off of Market & 5th).What you'll be working with:,"['nodejs', 'java']"
"Software Engineer (Frontend), Dashboard","Our global benefits package includes: Healthcare coverage, Retirement Plans, Employee Stock Purchase Program, Meal reimbursements, Wellness perks, Paid parental…","['plan', 'ai']"
Software Engineer - Intern,We’re looking for talented software engineering interns to join our diverse and fast-growing engineering team.Expected graduation date by June 2021.,['gin']
Software Engineer - Full Stack (Anti-Abuse),Building UI's in React and new APIs in Python to enable us to better visualize and take action against abuse.Minimum of 4 years experience writing Python.,"['visual', 'React', 'python', 'ai']"
Software Engineer - Application Backend,"You have mastered at least one programming language - Python, Objective-C, Java, etc.You have love Python (a plus).What it Takes to Succeed:","['objective-c', 'java', 'python']"
ML Infrastructure Software Engineer,You have working knowledge of an OOP language (e.g. Java or Scala) and a scripting language (e.g. Python).You have a passion for machine learning.,"['scripting', 'java', 'scala', 'oop', 'machine learning', 'python']"
"Software Engineer, Backend","You'll work with other engineers to ensure that the platform is a solid foundation to continue building on.As an engineer on the platform team, you will build…",['gin']
Kinesso- Software Engineer,"Strong knowledge of Java, Spring, Hibernate.Scripting skills (Bash, Perl, PHP, Python etc.).WE ARE SEEKING A SOFTWARE ENGINEER AS A MEMBER OF AN AGILE…","['scripting', 'java', 'perl', 'php', 'gin', 'hibernate', 'python']"
"Software Engineer, Data","Experience coding in Python and C++.You will work with neuroscientists, physicians, computer scientists and electrical engineers to design, test and deploy…","['gin', 'c++', 'python']"
Software Engineer (Full Stack),"Experience with Javascript, SQL and Python.Experience with object oriented design, coding, running tests.Contribute to the development of multi-tier scalable,…","['scala', 'javascript', 'python', 'sql']"
Software Engineer — Front-End,0x will also consider qualified applicants with arrest and conviction records in a way that is consistent with San Francisco’s Fair Chance Ordinance and similar…,"['rest', 'ai']"
Software Engineer: Frontend,Backend: Node.js microservices communicating over HTTP with async messaging via Google Cloud Pub/Sub.The majority of your time will be spent iterating on our…,"['gin', 'Google Cloud', 'microservices', 'Node.js']"
Software Engineer — Full-Stack,0x will also consider qualified applicants with arrest and conviction records in a way that is consistent with San Francisco’s Fair Chance Ordinance and similar…,"['rest', 'ai']"
Software Engineer (multiple openings),"Solid hands on experience with Java and Relational databases.We offer an excellent compensation and benefits plan, including incentive bonuses, stock options,…","['plan', 'database', 'java']"
Staff Software Engineer,An understanding of design principles that lead to scalable and maintainable web application architectures.We're looking for a talented staff software engineer…,"['scala', 'gin', 'ai']"
Software Engineer - LLC (Multiple Roles & Levels),"Our tech stack is Python, Django, React, Postgres.Experience with service oriented architecture.Strong industry experience in architecture and development of…","['django', 'python', 'React']"
Software Engineer (Java),"Hands-on development work using Java, JavaScript, HTML, CSS.Develop detailed design and deliver a scalable implementation.You should have experience with:","['css', 'java', 'scala', 'ai', 'html', 'javascript']"
Software Engineer II,"5+ years experience in software development with at least one of the following languages: Java, C#, C++, Python.Has used third party cloud services and apis.","['c#', 'c++', 'java', 'python']"
Software Engineer,"Work side by side with researchers, and research software engineers to understand workflows, prioritize solutions, and create and improve systems the team…",['gin']
Mobile Software Developer Intern,"You are interested in learning about our stack which includes; Android, iOS, Java, Kotlin, Swift, Objective-C, Ruby/Rails, Scala, CoreData, MySQL, RxJava,…","['java', 'scala', 'mysql', 'android', 'Kotlin', 'objective-c', 'ios', 'ruby', 'swift', 'rails', 'rest']"
Software Engineer Intern,Design and develop Java based web applications in a cutting edge environment.Work in a modern microservices environment and build enterprise software using…,"['microservices', 'java']"
Software Engineer,"In this position you'll be mostly using C++.We have code in several languages, ranging from C/C++ and Go to Python.Desire to Learn and Adapt.","['Go', 'c++', 'c', 'gin', 'python']"
Software Engineer,"Experience/interest in any of the following languages: Ruby/Ruby on Rails, Java, JavaScript, Swift, Kotlin.Great communication and collaboration skills with a…","['java', 'Kotlin', 'ruby', 'swift', 'rails', 'rest', 'javascript']"
Software Engineer - Intern May-Aug '20 Term,"Based in downtown San Francisco, tech hub of the world.By designing solutions that automate model optimization, SigOpt accelerates the impact of…",['Go']
Entry Level Java Developer,"You have basic programming skills using Core Java with in-depth knowledge of common APIs and data structures like Collections, Maps, lists, Sets etc.",['java']
Software Engineer - Full Stack,"Full-Stack engineering experience in Python, Ruby, JavaScript, Java, or C++.Experience with popular Python libraries/tools (Pyramid, pytest, tox, SQLAlchemy).","['pytest', 'java', 'sql', 'c++', 'ruby', 'gin', 'javascript', 'python']"
Software Developer 2/MaIS Developer,We are looking for a full time Java Developer to join our Middleware and Integration Services group in Enterprise Technology.Outside of the Bay Area?,['java']
Summer Intern: Commerce & Identity - Software Engineer Inter...,"Familiar with one of programming languages such as Java, C# or C++.BS/MS in Computer Science or Electrical Engineering.","['gin', 'c#', 'c++', 'java']"
"Software Engineer, Backend","You'll work with other engineers to ensure that the platform is a solid foundation to continue building on.As an engineer on the platform team, you will build…",['gin']
Software Engineer (Full Stack),"Drivetime is looking for a Software Full Stack Engineer to join the team in San Francisco.Qualified candidates need to be self-starters, possess strong…",['gin']
Software Engineer (Integration),"Proficiency with programming languages such as JavaScript, Go, C++, Python, or similar.Create user stories to draft technical solutions and designs to meet…","['Go', 'javascript', 'c++', 'python']"
"Software Engineer, Numerical Algorithms","Strong knowledge of Python and one of Java, C/C++, Kotlin, or Go.Write efficient, performant, and maintainable code in Java, Kotlin, and/or Go.","['Go', 'java', 'Kotlin', 'ai', 'c++', 'c', 'python']"
Frontend Engineer,"If you meet all these then we encourage you to apply.2+ years working with modern, component-based JavaScript frameworks (e.g. React, AngularJS, Vue.js).","['React', 'ply', 'js', 'Angular', 'javascript', 'Vue.js']"
Software Engineer Part Time Intern - Undergrad,"Familiarity with programming in python, Golang, C, or similar systems programming languages.You have the ability and interest in working part time ( 3 0 hours…","['rest', 'Go', 'python']"
Software Engineer - Data,"2+ years experience in Go or Python.Using Go and Python, you will build tools which are reliable and scale.5+ years of software development experience.","['Go', 'python']"
"Software Engineer, Systems - Discovery",Code using Scala and Java.We are very much experiment driven and have several experiments in flight at any point of time.We're hiring for the following teams:,"['scala', 'java']"
Software Engineer - Security,"Experience with languages like: Python, Java, Javascript, Puppet, Objective-C, or Swift.Pair with mobile, frontend, and backend teams to architect and develop…","['java', 'ai', 'objective-c', 'mobile', 'swift', 'javascript', 'python']"
"Software Engineer, Buying Experience","As a Software Engineer on the Core Services team, you’ll work closely with product management to build a beautifully simple and secure buying experience for our…",['gin']
"Paid Summer Intern - Graduate, Software Engineer (ML Focused...","Have experience using some of the scripting languages: C++, Java, Scala or Python.Are a great team player that everyone enjoys working with.","['scripting', 'java', 'scala', 'c++', 'python']"
Software Engineer - Frontend (Monetization),Promote cross-team awareness to optimize code-sharing and decrease time to market as a key member of the larger Javascript developer community at Yelp.,['javascript']
Software Engineer- Server,"You love to code and can write clean and effective production Erlang, Java or C/C++ code, regardless of the most recent language that you used and how you…","['c', 'c++', 'java']"
Software Engineer,Open locations include New York City and San Francisco Bay Area.Proficient in Python and C++.Embedded linux experience a plus.,"['linux', 'c++', 'python']"
Software Engineer - Customer Centric Engineering (all levels...,Eligibility for federal clearance to provide service to our government cloud.Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair…,"['Go', 'ai']"
"Software Engineer, Android","Experience with a common programming language such as Java.We recognize that not every person takes the same path to success, so if this position sounds like…",['java']
Software Engineer,"Demonstrable experience on a full stack engineering team(E.g Ruby, Python, Javascript, React).Create applications that are scalable and reliable.","['React', 'scala', 'ruby', 'gin', 'javascript', 'python']"
"Software Engineer, Intern (Genomic Algorithms Team)","Must have experience working with Python and Java.For San Francisco office candidates, pursuant to the San Francisco Fair Chance Ordinance, Ancestry will…","['java', 'python', 'ai']"
Software Engineer,We have to work to do across the system: frontend web design in CSS/JS/HTML; web backend in Python on AppEngine; mobile apps for iOS and Android; and telephony…,"['android', 'mobile', 'ios', 'css/js/html', 'gin', 'python']"
Software Engineer,"Excellent software design skill with experience in Python, Go, and/or Java.For job positions in San Francisco, CA, and other locations where required, we will…","['Go', 'java', 'python']"
Software Engineer,"Work with Rails 5 on Ruby 2.4.Dynamic and disposable development and staging cloud infrastructure.We're looking for a motivated, focused, and responsible…","['gin', 'ruby', 'rails']"
"Software Engineer, Care Applications (New College Grad)","Experience in our current technologies a bonus: Scala, Java, Spark, Airflow, AWS, SQL, LInux shell.Improve the data science and machine learning approaches…","['linux', 'java', 'scala', 'aws', 'airflow', 'sql', 'machine learning', 'spark', 'shell']"
Software Engineer (Graduate),"Who we are looking for.We are looking for new and recent graduates in Computer science or related field with a solid background in data structures, algorithms,…",['algorithms']
Software Engineer,Solid experience working with MySQL or PostgreSQL.We are looking for a passionate and creative Software Engineer to join the Trulia Services team.,"['mysql', 'gin', 'postgresql']"
Full-stack Software Engineer,"Experience in some of the following technologies: Java, Angular, Elasticsearch, NoSQL databases, Caching, API frameworks, Graph Databases, and data-driven…","['java', 'database', 'Angular', 'nosql']"
Software Engineer - Frontend (Monetization),Promote cross-team awareness to optimize code-sharing and decrease time to market as a key member of the larger Javascript developer community at Yelp.,['javascript']
Software Engineer 3,"Experience in one or more of the following areas: RESTful web services, Python, Strong Javascript programming skills, Java, C++, Data analytics and User…","['java', 'data analytics', 'c++', 'rest', 'javascript', 'python']"
Software Engineer - Backend C/C++,"For job positions in San Francisco, CA, and other locations where required, we will consider for employment qualified applicants with arrest and conviction…",['rest']
Jr. Backend Engineer,"Extensive Typescript, Javascript, Java, or Python experience.Java, Spring and MySQL RDS.BS degree in Computer Science, similar technical field of study or…","['java', 'mysql', 'typescript', 'javascript', 'python']"
"Software Engineer (Frontend), Employee Experience Engineerin...","Our global benefits package includes: Healthcare coverage, Retirement Plans, Employee Stock Purchase Program, Meal reimbursements, Wellness perks, Paid parental…","['plan', 'ai']"
Software Engineer,"2+ years of large-scale software development or application engineering with recent coding experience in following languages: Java, Javascript, Python.","['gin', 'javascript', 'java', 'python']"
Software Engineer - Full Stack,"You'll be on a VERY small team, so a lot of team practices will not have been worked out yet.Regardless of your experience level, you'll be expected to raise…",['ai']
"Software Engineer, Intern (Health Algorithms Team)","Must have experience working with Python and Java.For San Francisco office candidates, pursuant to the San Francisco Fair Chance Ordinance, Ancestry will…","['java', 'python', 'ai']"
Software Engineer,"Design and deploy scalable, secure infrastructure for authentication leveraging our advanced cryptography.Software Engineer: Role and Responsibilities:","['scala', 'gin', 'cryptography']"
Staff Software Engineer,An understanding of design principles that lead to scalable and maintainable web application architectures.We're looking for a talented staff software engineer…,"['scala', 'gin', 'ai']"
Software Engineer,"Excellent C++ programming, Python and software design skills; expertise in other languages welcome.He/She will work across all aspects of the self-driving…","['c++', 'python']"
"Software Engineer, Internship (Server Infrastructure)","You helped to build scalable systems, games, or web experiences in your previous internships.This role is eligible for sponsorship under CPT Visa only.",['scala']
Software Engineer,"Experience in back-end development, preferably using Java and SQL.Experienced working in cloud environment and microservices architecture utilizing AWS, GCP,…","['java', 'aws', 'GCP', 'sql', 'microservices']"
Software Engineer,"Prior working experience in Java web application development and spring framework.Working with product managers, project managers, engineering managers, and…401(k) MatchingAn employer-sponsored retirement savings plan, with pre-tax or tax-deferred benefits, where employers match employee contributions.SVNA software version control system used to maintain current and previous versions of source code, documentation, and web pages.Disability FriendlyIndividuals with disabilities are encouraged to apply.+26 moreConfluenceKnowledge management and workplace collaboration software developed by Atlassian.401(k)A retirement savings plan sponsored by an employer which allows employees to invest tax-deferred, pre-tax or post-tax contributions. Employers may offer matching or non-elective contributions on behalf of employees as an additional benefit. Application DevelopmentExperience or skill in developing computer or mobile device applications.JiraIssue tracking and project management software by Atlassian.Full-timeAn employee will work full time.Software DevelopmentExperience in or knowledge of software development.SpringA framework for developing Java platform applications.IT ExperienceSkill or experience managing computer-based information systems, such as software and hardware, in commercial or business settings.Design PatternsKnowledge of common design patterns or templates for software or websites.Information Systems DegreePostsecondary degree in information systems. It may cover the same information as other IT degrees, but is focused on what types of technology work best for a business problem.AgileKnowledge of or experience managing projects in incremental iterations to continually maximize flexibility and efficiency of a process.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.Part-timeAn employee will work less than full time.GitA version-control system for source code management.Health InsuranceA type of insurance that covers the whole or part of an insured person's medical expenses.AJAXA group of tools used to create asynchronous Web applications.Computer Science DegreePostsecondary degree in computer science, including degrees in information technology. A degree in computer engineering focuses on programming, data architecture, algorithms, and theory.JavaA compiled programming language and computing platform. Runs mainly on servers.E-CommerceSkill or experience with the online sale of goods and services.CSSA style sheet language that, when paired with a markup language, describes the visual presentation of a document. Developed and maintained by the W3C (World Wide Web Consortium).JSPA Java-based technology for creating dynamically-generated web pages.SQLProgramming language used for interacting with data held in a relational database.HTML5Hypertext Markup Language (HTML) is the standard language for building web pages and applications. HTML5 is the fifth version.JenkinsJava-based open-source automation server.JavaScriptA dynamic scripting language used to enhance web pages. Runs mainly in browsers.HybrisSAP Ecommerce platform enabling sales in both B2B and B2C markets.","['js', 'data architecture', 'Git', 'automation', 'visual', 'plan', 'ply', 'database', 'gin', 'Go', 'sql', 'mobile', 'html', 'scripting', 'css', 'java', 'Jenkins', 'ai', 'algorithms', 'javascript']"
"Software Engineer, Frontend - University Graduate","Familiarity with REST APIs, ability to read python server code a plus!BS/MS in Computer Science, something similar or equivalent work experience.Disability FriendlyIndividuals with disabilities are encouraged to apply.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.Computer Science DegreePostsecondary degree in computer science, including degrees in information technology. A degree in computer engineering focuses on programming, data architecture, algorithms, and theory.+8 morePythonAn interpreted, open-source programming language.Master's DegreeDegree awarded to students by universities or colleges at the completion of a post-bachelor's degree course of study. A Master's Degree is considered more advanced than a bachelor's degree. May be awarded as part of a PhD.APIsSkill or experience with programming interfaces that allow communication between products or services.ReactA JavaScript library for building user interfaces for web applications.RESTExperience with REST (Representational State Transfer). REST is a protocol for accessing Web services. REST-compliant systems are often called RESTful systems.CSSA style sheet language that, when paired with a markup language, describes the visual presentation of a document. Developed and maintained by the W3C (World Wide Web Consortium).AngularOpen source web application platform managed largely by the Angular Team at Google.JavaScriptA dynamic scripting language used to enhance web pages. Runs mainly in browsers.","['scripting', 'React', 'css', 'Go', 'visual', 'ply', 'data architecture', 'ai', 'Angular', 'algorithms', 'rest', 'gin', 'javascript', 'python']"
Software Engineer,"Net, MVC, MS SQL, Microsoft Azure, JQuery, CSS, Xamarin for Android and iOS (for Mobile Apps).An innovative and out-of-box thinking engineer with confidence…XamarinA software development toolkit designed for cross-platform development using the C# language.Mobile ApplicationsSkill or experience with software applications designed for mobile devices.AzureA cloud computing platform developed by Microsoft.+11 moreMaster's DegreeDegree awarded to students by universities or colleges at the completion of a post-bachelor's degree course of study. A Master's Degree is considered more advanced than a bachelor's degree. May be awarded as part of a PhD.iOSOperating system for Apple mobile devices, such as phones or tablets.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.Microsoft SQL ServerProprietary relational database management system written in C/C++ and developed by Microsoft.Computer Science DegreePostsecondary degree in computer science, including degrees in information technology. A degree in computer engineering focuses on programming, data architecture, algorithms, and theory.C#Object-oriented programming language developed by Microsoft as part of the .NET framework infrastructure.CSSA style sheet language that, when paired with a markup language, describes the visual presentation of a document. Developed and maintained by the W3C (World Wide Web Consortium).SQLProgramming language used for interacting with data held in a relational database..NETA back-end software framework developed by Microsoft. .NET encompasses an array of software development tools.JavaScriptA dynamic scripting language used to enhance web pages. Runs mainly in browsers.MVCThe software architectural pattern that divides an application into three components: the model, the view, and the controller.","['data architecture', 'JQuery', 'ios', 'Azure', 'c', '.net', 'android', 'visual', 'Object-oriented programming', 'c++', 'database', 'MVC', 'gin', 'sql', '.Net Framework', 'mobile', 'Net', 'microsoft sql', 'Microsoft Azure', 'scripting', 'css', 'Xamarin', 'ai', 'c#', 'algorithms', 'javascript']"
Associate Gameplay Engineer,"Scripting languages (Lua, Python, Perl).Work with the lead engineer to develop gameplay features and systems.C/C++ development and optimization skills.401(k)A retirement savings plan sponsored by an employer which allows employees to invest tax-deferred, pre-tax or post-tax contributions. Employers may offer matching or non-elective contributions on behalf of employees as an additional benefit. Dental InsuranceHealth insurance specifically for dental which may cover teeth cleanings and cavity fillings.Computer Engineering DegreePostsecondary degree in computer engineering, including degrees in hardware engineering and software engineering. A degree in computer engineering focuses on hardware and software development.+15 moreDisability FriendlyIndividuals with disabilities are encouraged to apply.Health InsuranceA type of insurance that covers the whole or part of an insured person's medical expenses.Paid Time OffPaid time off from work.401(k) MatchingAn employer-sponsored retirement savings plan, with pre-tax or tax-deferred benefits, where employers match employee contributions.Computer Science DegreePostsecondary degree in computer science, including degrees in information technology. A degree in computer engineering focuses on programming, data architecture, algorithms, and theory.PerlA general-purpose programming language often used for developing web applications and scripting.Parental LeaveJob-protected maternity, paternity, and adoption leave for new parents.Vision InsuranceHealth insurance specifically for vision which may cover eye exams and eyewear.Health Savings AccountA type of medical savings account for those enrolled in a high-deductible healthcare plan.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.Communication SkillsExperience or skill effectively exchanging and understanding information, verbally or in writing.C/C++Generic programming language developed by Bjarne Stroustrup. C is standardized by the ISO (International Standards Organization) and ANSI (American National Standards Institute). C++ is standardized by the ISO.PythonAn interpreted, open-source programming language.Volunteer Time OffPaid time off from work to volunteer.LuaAn embeddable scripting language supporting programming and data description.","['scripting', 'plan', 'ply', 'redis', 'data architecture', 'ai', 'perl', 'algorithms', 'c++', 'c', 'gin', 'python']"
Machine Learning Software Engineer,"Backend development experience with a strong interest in work involving data pipelines, distributed systems, performance analysis, and/or large-scale data…HadoopA framework that allows for the distributed processing of large data sets across clusters of computers using simple programming models.System DesignSkill or experience in designing, mapping, and planning of computer, utility, or construction systems.Disability FriendlyIndividuals with disabilities are encouraged to apply.+16 moreDoctoral DegreeTerminal degree awarded by universities or colleges at the completion of an advanced, research-focused course of study. A Doctoral Degree enables the holder to teach at high levels in universities or colleges, or to work in other specialized professional roles. CassandraOpen-source noSQL database built with NoSQL for scalability and high availability and developed by Apache.Unit TestingExperience with unit testing, a software development process whereby the smallest testable parts of operation (units) are individually tested.Data StructuresExperience or skill with the organization and storage of data that allows for easy access and modification.Master's DegreeDegree awarded to students by universities or colleges at the completion of a post-bachelor's degree course of study. A Master's Degree is considered more advanced than a bachelor's degree. May be awarded as part of a PhD.Distributed SystemsSkill or experience with distributed computing systems.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.Data MiningSkill in data mining techniques used to identify patterns in large amounts of data.RedisOpen-source data structure project where the database system is considered simultaneously both a store and a cache.Machine LearningKnowledge of or experience with machine learning. Machine learning may incorporate algorithm development, training algorithms with sample sets, or using machine learning results for data analysis.Computer Science DegreePostsecondary degree in computer science, including degrees in information technology. A degree in computer engineering focuses on programming, data architecture, algorithms, and theory.MySQLOpen-source relational database management system written in C/C++ and developed by Oracle.JavaA compiled programming language and computing platform. Runs mainly on servers.Computer ScienceSkill or experience in computers and computer concepts such as software, hardware, networking, and the Internet.MartechExperience with marketing technology tools.Twitter AdsExperience creating and managing advertisements published on Twitter, a social media micro-blog platform.","['mysql', 'data architecture', 'c', 'scala', 'plan', 'ply', 'oracle', 'c++', 'machine learning', 'rest', 'gin', 'database', 'Go', 'Hadoop', 'apache', 'Net', 'java', 'redis', 'ai', 'algorithms', 'nosql']"
"Software Engineer, Intern (Health Algorithms Team)","Must have experience working with Python and Java.For San Francisco office candidates, pursuant to the San Francisco Fair Chance Ordinance, Ancestry will…Disability FriendlyIndividuals with disabilities are encouraged to apply.Bachelor's DegreeDegree awarded to students by universities or colleges at the completion of an undergraduate, post-high school course of study.Web ServicesExperience developing, integrating, or testing web services.+5 moreAWSExperience with Amazon Web Services, a platform which provides a wide array of information technology services to individuals or organizations. Services include but are not limited to cloud computing, data storage, database services, business applications, and content delivery. JavaA compiled programming language and computing platform. Runs mainly on servers.RESTExperience with REST (Representational State Transfer). REST is a protocol for accessing Web services. REST-compliant systems are often called RESTful systems.PythonAn interpreted, open-source programming language.BioinformaticsKnowledge of or experience with methods and software tools for understanding biological data.","['java', 'ply', 'aws', 'ai', 'rest', 'database', 'python']"
